bin_left,bin_right,bin_mid,count,is_structuring_band
0,1000,500.0,142626,0
1000,2000,1500.0,143424,0
2000,3000,2500.0,142579,0
3000,4000,3500.0,139081,0
4000,5000,4500.0,134696,0
5000,6000,5500.0,129599,0
6000,7000,6500.0,122596,0
7000,8000,7500.0,117221,0
8000,9000,8500.0,110085,0
9000,10000,9500.0,104080,1
10000,11000,10500.0,97843,0
11000,12000,11500.0,90485,0
12000,13000,12500.0,84748,0
13000,14000,13500.0,79047,0
14000,15000,14500.0,73798,0
15000,16000,15500.0,68705,0
16000,17000,16500.0,63664,0
17000,18000,17500.0,59277,0
18000,19000,18500.0,54852,0
19000,20000,19500.0,51259,0
20000,21000,20500.0,47921,0
21000,22000,21500.0,45098,0
22000,23000,22500.0,42682,0
23000,24000,23500.0,39326,0
24000,25000,24500.0,37929,0
25000,26000,25500.0,35514,0
26000,27000,26500.0,33821,0
27000,28000,27500.0,32122,0
28000,29000,28500.0,30385,0
29000,30000,29500.0,29296,0
30000,31000,30500.0,27557,0
31000,32000,31500.0,26925,0
32000,33000,32500.0,26202,0
33000,34000,33500.0,24867,0
34000,35000,34500.0,24040,0
35000,36000,35500.0,23297,0
36000,37000,36500.0,22529,0
37000,38000,37500.0,21595,0
38000,39000,38500.0,21200,0
39000,40000,39500.0,20577,0
40000,41000,40500.0,20144,0
41000,42000,41500.0,19481,0
42000,43000,42500.0,19444,0
43000,44000,43500.0,18635,0
44000,45000,44500.0,18202,0
45000,46000,45500.0,18146,0
46000,47000,46500.0,17686,0
47000,48000,47500.0,17583,0
48000,49000,48500.0,17017,0
49000,50000,49500.0,17045,0
50000,51000,50500.0,16667,0
51000,52000,51500.0,16367,0
52000,53000,52500.0,16123,0
53000,54000,53500.0,15995,0
54000,55000,54500.0,15960,0
55000,56000,55500.0,15847,0
56000,57000,56500.0,15802,0
57000,58000,57500.0,15347,0
58000,59000,58500.0,15357,0
59000,60000,59500.0,15382,0
60000,61000,60500.0,15007,0
61000,62000,61500.0,14983,0
62000,63000,62500.0,14868,0
63000,64000,63500.0,15018,0
64000,65000,64500.0,14425,0
65000,66000,65500.0,14543,0
66000,67000,66500.0,14690,0
67000,68000,67500.0,14610,0
68000,69000,68500.0,14652,0
69000,70000,69500.0,14271,0
70000,71000,70500.0,14287,0
71000,72000,71500.0,14286,0
72000,73000,72500.0,14198,0
73000,74000,73500.0,14171,0
74000,75000,74500.0,14244,0
75000,76000,75500.0,13921,0
76000,77000,76500.0,14055,0
77000,78000,77500.0,14092,0
78000,79000,78500.0,13934,0
79000,80000,79500.0,13854,0
80000,81000,80500.0,14030,0
81000,82000,81500.0,13909,0
82000,83000,82500.0,13733,0
83000,84000,83500.0,13670,0
84000,85000,84500.0,13862,0
85000,86000,85500.0,13819,0
86000,87000,86500.0,13760,0
87000,88000,87500.0,13645,0
88000,89000,88500.0,13657,0
89000,90000,89500.0,13643,0
90000,91000,90500.0,13477,0
91000,92000,91500.0,13672,0
92000,93000,92500.0,13552,0
93000,94000,93500.0,13525,0
94000,95000,94500.0,13532,0
95000,96000,95500.0,13529,0
96000,97000,96500.0,13437,0
97000,98000,97500.0,13402,0
98000,99000,98500.0,13337,0
99000,100000,99500.0,13162,0
100000,101000,100500.0,13272,0
101000,102000,101500.0,13306,0
102000,103000,102500.0,13203,0
103000,104000,103500.0,13110,0
104000,105000,104500.0,13271,0
105000,106000,105500.0,13331,0
106000,107000,106500.0,13044,0
107000,108000,107500.0,13156,0
108000,109000,108500.0,12999,0
109000,110000,109500.0,13004,0
110000,111000,110500.0,13027,0
111000,112000,111500.0,12868,0
112000,113000,112500.0,12983,0
113000,114000,113500.0,12908,0
114000,115000,114500.0,12531,0
115000,116000,115500.0,12666,0
116000,117000,116500.0,12877,0
117000,118000,117500.0,12818,0
118000,119000,118500.0,12697,0
119000,120000,119500.0,12584,0
120000,121000,120500.0,12649,0
121000,122000,121500.0,12770,0
122000,123000,122500.0,12778,0
123000,124000,123500.0,12613,0
124000,125000,124500.0,12706,0
125000,126000,125500.0,12440,0
126000,127000,126500.0,12530,0
127000,128000,127500.0,12487,0
128000,129000,128500.0,12476,0
129000,130000,129500.0,12620,0
130000,131000,130500.0,12248,0
131000,132000,131500.0,12508,0
132000,133000,132500.0,12236,0
133000,134000,133500.0,12321,0
134000,135000,134500.0,12332,0
135000,136000,135500.0,12192,0
136000,137000,136500.0,12334,0
137000,138000,137500.0,12201,0
138000,139000,138500.0,12234,0
139000,140000,139500.0,12107,0
140000,141000,140500.0,12175,0
141000,142000,141500.0,12112,0
142000,143000,142500.0,11853,0
143000,144000,143500.0,11941,0
144000,145000,144500.0,12019,0
145000,146000,145500.0,12055,0
146000,147000,146500.0,11994,0
147000,148000,147500.0,11775,0
148000,149000,148500.0,11894,0
149000,150000,149500.0,11792,0
150000,151000,150500.0,11939,0
151000,152000,151500.0,11752,0
152000,153000,152500.0,11590,0
153000,154000,153500.0,11616,0
154000,155000,154500.0,11752,0
155000,156000,155500.0,11565,0
156000,157000,156500.0,11459,0
157000,158000,157500.0,11441,0
158000,159000,158500.0,11235,0
159000,160000,159500.0,11360,0
160000,161000,160500.0,11505,0
161000,162000,161500.0,11198,0
162000,163000,162500.0,11150,0
163000,164000,163500.0,11104,0
164000,165000,164500.0,11175,0
165000,166000,165500.0,11165,0
166000,167000,166500.0,11071,0
167000,168000,167500.0,10938,0
168000,169000,168500.0,10929,0
169000,170000,169500.0,11081,0
170000,171000,170500.0,10981,0
171000,172000,171500.0,10938,0
172000,173000,172500.0,10789,0
173000,174000,173500.0,10779,0
174000,175000,174500.0,10743,0
175000,176000,175500.0,10769,0
176000,177000,176500.0,10573,0
177000,178000,177500.0,10578,0
178000,179000,178500.0,10696,0
179000,180000,179500.0,10555,0
180000,181000,180500.0,10569,0
181000,182000,181500.0,10392,0
182000,183000,182500.0,10412,0
183000,184000,183500.0,10541,0
184000,185000,184500.0,10211,0
185000,186000,185500.0,10317,0
186000,187000,186500.0,10312,0
187000,188000,187500.0,10176,0
188000,189000,188500.0,10075,0
189000,190000,189500.0,10136,0
190000,191000,190500.0,10235,0
191000,192000,191500.0,9838,0
192000,193000,192500.0,9797,0
193000,194000,193500.0,9883,0
194000,195000,194500.0,9824,0
195000,196000,195500.0,9778,0
196000,197000,196500.0,9672,0
197000,198000,197500.0,9883,0
198000,199000,198500.0,9691,0
199000,200000,199500.0,9579,0
200000,201000,200500.0,9734,0
201000,202000,201500.0,9554,0
202000,203000,202500.0,9708,0
203000,204000,203500.0,9466,0
204000,205000,204500.0,9584,0
205000,206000,205500.0,9339,0
206000,207000,206500.0,9485,0
207000,208000,207500.0,9267,0
208000,209000,208500.0,9392,0
209000,210000,209500.0,9245,0
210000,211000,210500.0,9146,0
211000,212000,211500.0,9306,0
212000,213000,212500.0,9102,0
213000,214000,213500.0,8922,0
214000,215000,214500.0,9054,0
215000,216000,215500.0,8933,0
216000,217000,216500.0,8776,0
217000,218000,217500.0,8853,0
218000,219000,218500.0,8929,0
219000,220000,219500.0,8739,0
220000,221000,220500.0,8566,0
221000,222000,221500.0,8587,0
222000,223000,222500.0,8435,0
223000,224000,223500.0,8594,0
224000,225000,224500.0,8519,0
225000,226000,225500.0,8451,0
226000,227000,226500.0,8548,0
227000,228000,227500.0,8327,0
228000,229000,228500.0,8511,0
229000,230000,229500.0,8238,0
230000,231000,230500.0,8255,0
231000,232000,231500.0,8213,0
232000,233000,232500.0,8340,0
233000,234000,233500.0,8158,0
234000,235000,234500.0,8123,0
235000,236000,235500.0,7902,0
236000,237000,236500.0,7975,0
237000,238000,237500.0,7956,0
238000,239000,238500.0,7925,0
239000,240000,239500.0,7800,0
240000,241000,240500.0,7867,0
241000,242000,241500.0,7701,0
242000,243000,242500.0,7757,0
243000,244000,243500.0,7723,0
244000,245000,244500.0,7771,0
245000,246000,245500.0,7603,0
246000,247000,246500.0,7642,0
247000,248000,247500.0,7399,0
248000,249000,248500.0,7263,0
249000,250000,249500.0,7404,0
250000,251000,250500.0,7431,0
251000,252000,251500.0,7444,0
252000,253000,252500.0,7187,0
253000,254000,253500.0,7248,0
254000,255000,254500.0,7309,0
255000,256000,255500.0,7164,0
256000,257000,256500.0,7174,0
257000,258000,257500.0,7171,0
258000,259000,258500.0,7048,0
259000,260000,259500.0,6879,0
260000,261000,260500.0,6953,0
261000,262000,261500.0,7061,0
262000,263000,262500.0,6859,0
263000,264000,263500.0,6828,0
264000,265000,264500.0,6703,0
265000,266000,265500.0,6698,0
266000,267000,266500.0,6600,0
267000,268000,267500.0,6614,0
268000,269000,268500.0,6627,0
269000,270000,269500.0,6644,0
270000,271000,270500.0,6701,0
271000,272000,271500.0,6744,0
272000,273000,272500.0,6597,0
273000,274000,273500.0,6450,0
274000,275000,274500.0,6471,0
275000,276000,275500.0,6348,0
276000,277000,276500.0,6323,0
277000,278000,277500.0,6397,0
278000,279000,278500.0,6297,0
279000,280000,279500.0,6355,0
280000,281000,280500.0,6279,0
281000,282000,281500.0,6250,0
282000,283000,282500.0,6109,0
283000,284000,283500.0,6168,0
284000,285000,284500.0,5939,0
285000,286000,285500.0,6078,0
286000,287000,286500.0,5990,0
287000,288000,287500.0,5847,0
288000,289000,288500.0,5835,0
289000,290000,289500.0,5760,0
290000,291000,290500.0,5860,0
291000,292000,291500.0,5777,0
292000,293000,292500.0,5884,0
293000,294000,293500.0,5759,0
294000,295000,294500.0,5668,0
295000,296000,295500.0,5586,0
296000,297000,296500.0,5653,0
297000,298000,297500.0,5508,0
298000,299000,298500.0,5494,0
299000,300000,299500.0,5457,0
300000,301000,300500.0,5358,0
301000,302000,301500.0,5427,0
302000,303000,302500.0,5384,0
303000,304000,303500.0,5420,0
304000,305000,304500.0,5418,0
305000,306000,305500.0,5251,0
306000,307000,306500.0,5231,0
307000,308000,307500.0,5279,0
308000,309000,308500.0,5219,0
309000,310000,309500.0,5349,0
310000,311000,310500.0,5200,0
311000,312000,311500.0,5004,0
312000,313000,312500.0,4867,0
313000,314000,313500.0,5154,0
314000,315000,314500.0,4990,0
315000,316000,315500.0,5013,0
316000,317000,316500.0,4921,0
317000,318000,317500.0,4815,0
318000,319000,318500.0,4844,0
319000,320000,319500.0,4784,0
320000,321000,320500.0,4646,0
321000,322000,321500.0,4769,0
322000,323000,322500.0,4716,0
323000,324000,323500.0,4663,0
324000,325000,324500.0,4663,0
325000,326000,325500.0,4623,0
326000,327000,326500.0,4551,0
327000,328000,327500.0,4640,0
328000,329000,328500.0,4496,0
329000,330000,329500.0,4573,0
330000,331000,330500.0,4490,0
331000,332000,331500.0,4348,0
332000,333000,332500.0,4433,0
333000,334000,333500.0,4502,0
334000,335000,334500.0,4289,0
335000,336000,335500.0,4273,0
336000,337000,336500.0,4221,0
337000,338000,337500.0,4322,0
338000,339000,338500.0,4303,0
339000,340000,339500.0,4157,0
340000,341000,340500.0,4295,0
341000,342000,341500.0,4055,0
342000,343000,342500.0,4220,0
343000,344000,343500.0,4160,0
344000,345000,344500.0,4032,0
345000,346000,345500.0,3976,0
346000,347000,346500.0,4061,0
347000,348000,347500.0,3916,0
348000,349000,348500.0,3915,0
349000,350000,349500.0,3903,0
350000,351000,350500.0,3885,0
351000,352000,351500.0,3853,0
352000,353000,352500.0,3833,0
353000,354000,353500.0,3898,0
354000,355000,354500.0,3889,0
355000,356000,355500.0,3712,0
356000,357000,356500.0,3696,0
357000,358000,357500.0,3580,0
358000,359000,358500.0,3720,0
359000,360000,359500.0,3628,0
360000,361000,360500.0,3655,0
361000,362000,361500.0,3545,0
362000,363000,362500.0,3504,0
363000,364000,363500.0,3534,0
364000,365000,364500.0,3469,0
365000,366000,365500.0,3483,0
366000,367000,366500.0,3571,0
367000,368000,367500.0,3426,0
368000,369000,368500.0,3439,0
369000,370000,369500.0,3374,0
370000,371000,370500.0,3423,0
371000,372000,371500.0,3444,0
372000,373000,372500.0,3329,0
373000,374000,373500.0,3300,0
374000,375000,374500.0,3179,0
375000,376000,375500.0,3387,0
376000,377000,376500.0,3247,0
377000,378000,377500.0,3257,0
378000,379000,378500.0,3170,0
379000,380000,379500.0,3237,0
380000,381000,380500.0,3107,0
381000,382000,381500.0,3179,0
382000,383000,382500.0,3087,0
383000,384000,383500.0,3016,0
384000,385000,384500.0,2898,0
385000,386000,385500.0,3071,0
386000,387000,386500.0,2990,0
387000,388000,387500.0,2944,0
388000,389000,388500.0,2910,0
389000,390000,389500.0,2904,0
